NUM_UC,NUM_UC_ANEEL,SITUACAO_INICIAL,SITUACAO_ATUAL,SITUACAO_UC,LOCAL,CLASSE,GRUPO,TIPO_FASE,ETAPA,DT_ATIVACAO,DT_DISTRATO,MOTIV_DIST,IND_SOLICITAÇAO,FINALIDADE,FABRI_VEIC,MODELO_VEIC,ANO_VEIC,TIPO_VEIC,MOTOR_VEIC,STATUS_VEIC,CAPACIDADE_VEIC,QTE_VEIC,PERCURSO_SEMANAL,FREQ_CARGA_RESIDENCIA,FREQ_CARGA_SEMANAL,FREQ_CARGA_MADRUGADA,LOCAL_RECARGA,ELETROPOSTO_COPEL,STATUS_WALLBOX,MARCA_WALLB,POT_WALLB,STATUS_PORTATIL,MARCA_PORTATIL,POT_PORTATIL,TARIFA_SOCIAL,TARIFA_BRANCA,GD_BENE_INIC,GD_BENE_FIM,TIPO_GD_BENE,DATA_INICIO_GD,DATA_FIM_GD,TIPO_GD_GERA,POSSUI_GD_CLIENTE,DT_SITUACAO_UC,DT_MUD_TIT,MUD_TIT
99551276,468613903165.0,Reserva,Reserva,LG,PONTA GROSSA,B1,1.0,BI,4.0,,,,,Pessoal,BYD,Dolphin Mini,2025.0,Carro,Eletrico,Proprio,Não sei,1.0,180.0,Sempre,1 vez por semana ou menos,Sempre,Residência;,N,S,BYD,entre 4 e 8 kW,S,BYD 3,menor que 4 kW,N,N,2025-05-01,,,2025-05-01,,GDII,S,2012-05-05,,
106564064,597969703144.0,Controle,Controle,LG,SAO JOSE DOS PINHAIS,B1,1.0,BI,2.0,2026-03-01,,,,Trabalho,BYD,Dolphin,,Carro,Eletrico,Proprio,Entre 41 e 60 kWh,1.0,1500.0,Sempre,de 6 a 7 vezes por semana,Sempre,Residência;,N,S,BYD,entre 4 e 8 kW,S,BYD 7,entre 4 e 8 kW,N,N,2024-04-01,,,,,,N,2021-04-15,,
107977940,610604103159.0,Ativo,Ativo,LG,SAO JOSE DOS PINHAIS,B1,1.0,BI,11.0,2026-03-01,,,,Pessoal,BYD,Dolphin Plus,2025.0,Carro,Eletrico,Alugado,Entre 61 e 80 kWh,1.0,500.0,Sempre,de 2 a 3 vezes por semana,Frequentemente,Residência;Eletroposto;,S,S,BYD,entre 4 e 8 kW,S,BYD 3,menor que 4 kW,N,N,2022-01-01,,,2022-01-01,,GDI,S,2021-01-23,,
57650144,199706203140.0,Ativo,Ativo,LG,PINHAIS,B1,1.0,TR,18.0,2026-03-01,,,,Pessoal,BYD,Seal,,Carro,Eletrico,Proprio,Maior que 80 kWh,2.0,500.0,Sempre,de 2 a 3 vezes por semana,Sempre,Residência;Eletroposto;,S,S,BYD,entre 4 e 8 kW,S,BYD 3,menor que 4 kW,N,N,2022-07-01,,,2022-07-01,,GDI,S,2007-03-07,,
11578912,318308503180.0,Ativo,Ativo,LG,TOLEDO,B1,1.0,BI,12.0,2026-03-01,,,,Pessoal,BYD,Song,,Carro,Hibrido,Proprio,Não sei,2.0,400.0,Sempre,de 2 a 3 vezes por semana,Sempre,Residência;,N,N,,,S,BYD 3,menor que 4 kW,N,N,2026-05-01,,,,,,N,2017-06-16,,
107523027,606486003161.0,Ativo,Ativo,LG,PONTA GROSSA,B1,1.0,TR,11.0,2026-03-01,,,,Pessoal,BYD,Song Plus,,Carro,Hibrido,Proprio,Entre 21 e 40 kWh,2.0,400.0,Sempre,de 4 a 5 vezes por semana,Sempre,Residência,N,N,,,S,BYD 7,entre 4 e 8 kW,N,N,2022-03-01,,,2022-03-01,,GDI,S,2020-12-14,,
41200144,209696603120.0,Ativo,Ativo,LG,CASCAVEL,B1,1.0,TR,15.0,2026-03-01,,,,Pessoal,BYD,Song,,Carro,Hibrido,Proprio,Menor que 20 kWh,1.0,200.0,Sempre,de 6 a 7 vezes por semana,Frequentemente,Residência,N,N,,,S,BYD 3,menor que 4 kW,N,N,,,,,,,N,1999-11-16,,
103143009,567095103186.0,Reserva,Reserva,LG,PINHAIS,B1,1.0,TR,3.0,,,,,Pessoal,BYD,Song Pro,2024.0,Carro,Hibrido,Proprio,Menor que 20 kWh,1.0,450.0,Sempre,de 6 a 7 vezes por semana,Sempre,Residência,N,N,,,S,BYD 3,menor que 4 kW,N,N,2025-11-01,,,2025-11-01,,GDII,S,2017-12-13,,
80609031,9113603109.0,Ativo,Ativo,LG,IMBITUVA,B1,1.0,TR,2.0,2026-03-01,,,,Pessoal,BYD,King GS,2025.0,Carro,Hibrido,Proprio,Menor que 20 kWh,1.0,200.0,Frequentemente,de 2 a 3 vezes por semana,Sempre,Residência;,N,N,,,S,BYD 3,menor que 4 kW,N,N,,,,,,,N,2009-05-08,,
78163650,429941403124.0,Ativo,Ativo,LG,UNIAO DA VITORIA,B1,1.0,BI,9.0,2026-03-01,,,,Pessoal,BYD,Song Pro,,Carro,Hibrido,Proprio,Menor que 20 kWh,1.0,120.0,Frequentemente,de 2 a 3 vezes por semana,Sempre,Residência,N,N,,,S,BYD 3,menor que 4 kW,N,N,,,,,,,N,2024-04-10,,
